kpathid	Pathway	extid	source	size	tag1	tag2	tag3	tag4	tag5	tag6	tag7
kp0439	Dicarboxylic-acid Metabolism	GO:0043648	Gene Ontology	95	Metabolism	NA	NA	NA	NA	NA	NA
kp0566	Segmentation (Regionalization)	GO:0035282	Gene Ontology	95	Physiology	NA	NA	NA	NA	NA	NA
kp0774	Secretin family Receptors	R-HSA-373080	Reactome	95	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp0794	DNA Methylation or Demethylation [Gene Ontology]	GO:0044728	Gene Ontology	95	Transcriptional Regulation	Epigenetic Regulation	NA	NA	NA	NA	NA
kp0834	Amine Transport	GO:0015837	Gene Ontology	95	Transport	NA	NA	NA	NA	NA	NA
kp3008	Eukaryotic Translation Termination	R-HSA-72764	Reactome	95	Translation	NA	NA	NA	NA	NA	NA
kp3492	Selenocysteine Synthesis	R-HSA-2408557	Reactome	95	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp4754	Base Excision Repair	R-HSA-73884	Reactome	95	DNA Repair	NA	NA	NA	NA	NA	NA
kp0201	Smooth Muscle Contraction [Gene Ontology]	GO:0006939	Gene Ontology	96	Developmental Biology	Muscle	NA	NA	NA	NA	NA
kp0343	B-cell Proliferation	GO:0042100	Gene Ontology	96	Immune System	B-cell	NA	NA	NA	NA	NA
kp0924	Fc-gamma Receptor mediated Phagocytosis [KEGG]	path:hsa04666	KEGG	96	Immune System	Phagocytosis	Fc Receptors	NA	NA	NA	NA
kp3104	TGFB family Members Signaling	R-HSA-9006936	Reactome	96	Signal Transduction	TGF-beta	NA	NA	NA	NA	NA
kp3146	Nucleotide Excision Repair [Reactome]	R-HSA-5696398	Reactome	96	DNA Repair	NA	NA	NA	NA	NA	NA
kp4849	Eukaryotic Translation Elongation	R-HSA-156842	Reactome	96	Translation	NA	NA	NA	NA	NA	NA
kp5414	RHO GTPases mediate Protein Kinsases N (PKNs) Activation	R-HSA-5625740	Reactome	96	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp5484	p75 Neurotrophin Receptor (NTR) meiated Signaling [Reactome]	R-HSA-193704	Reactome	96	Signal Transduction	RTK Signaling	Neurotrophin	NA	NA	NA	NA
kp0319	Gram Positive  Bateria Defense Response	GO:0050830	Gene Ontology	97	Immune System	Innate Immune System	NA	NA	NA	NA	NA
kp0581	Macrophage Activation	GO:0042116	Gene Ontology	97	Immune System	NA	NA	NA	NA	NA	NA
kp0582	Autophagosome Organization	GO:1905037	Gene Ontology	97	Autophagy	NA	NA	NA	NA	NA	NA
kp0846	Dicarboxylic-acid Transport	GO:0006835	Gene Ontology	97	Transport	NA	NA	NA	NA	NA	NA
kp1034	Circadian Entrainment	path:hsa04713	KEGG	97	Physiology	NA	NA	NA	NA	NA	NA
kp1144	Phosphatidylinositol Signaling	path:hsa04070	KEGG	97	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp2025	B-cell Receptor Signaling [WikiPathway]	WP23	WikiPathway	97	Signal Transduction	Immune System	B-cell	NA	NA	NA	NA
kp0163	Limbic System Development	GO:0021761	Gene Ontology	98	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0899	Inflammatory mediator regulation of TRP channels	path:hsa04750	KEGG	98	Signal Transduction	Inflammation	NA	NA	NA	NA	NA
kp0915	Aldosterone Synthesis and Secretion	path:hsa04925	KEGG	98	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA	NA
kp0939	Glycerophospholipid Metabolism [KEGG]	path:hsa00564	KEGG	98	Metabolism	Lipid Metabolism	Phospholipid Metabolism	NA	NA	NA	NA
kp1036	mRNA Surveillance Pathway	path:hsa03015	KEGG	98	Transcription	RNA Metabolism	NA	NA	NA	NA	NA
kp1114	Hematopoietic Cell Lineage	path:hsa04640	KEGG	98	Differentiation	NA	NA	NA	NA	NA	NA
kp2351	Regulation of Hippo Signaling 	WP4540	WikiPathway	98	Signal Transduction	Transcriptional Regulation	Hippo	NA	NA	NA	NA
kp3367	JAK/STAT MolecularVariation 1	None	INOH	98	Immune System	Cytokines	JAK/STAT	NA	NA	NA	NA
kp0204	Spinal Cord Development	GO:0021510	Gene Ontology	99	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp0553	Pain Perception	GO:0019233	Gene Ontology	99	Physiology	NA	NA	NA	NA	NA	NA
kp0680	IL-1 Production	GO:0032611	Gene Ontology	99	Immune System	Innate Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp0791	Transcriptional Regulation by RUNX3	R-HSA-8878159	Reactome	99	Transcriptional Regulation	Transcription Factors	RUNX3	NA	NA	NA	NA
kp3091	Cellular Response to Chemical Stress	R-HSA-9711123	Reactome	99	Cellular Responses to Stress	NA	NA	NA	NA	NA	NA
kp4135	Protein Folding	R-HSA-391251	Reactome	99	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp4460	Anti-microbial Peptides	R-HSA-6803157	Reactome	99	Immune System	Innate Immune System	NA	NA	NA	NA	NA
kp0229	Megakaryocyte Differentiation	GO:0030219	Gene Ontology	100	Developmental Biology	Differentiation	NA	NA	NA	NA	NA
kp0821	Cytoplasmic Translation	GO:0002181	Gene Ontology	100	Translation	NA	NA	NA	NA	NA	NA
kp1199	Viral Protein Interaction with Cytokine and Cytokine Receptor	path:hsa04061	KEGG	100	Immune System	Cytokines	NA	NA	NA	NA	NA
kp1245	Progesterone mediated Oocyte Maturation	path:hsa04914	KEGG	100	Physiology	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA
kp1980	Integrin mediated Cell Adhesion [WikiPathway]	WP185	WikiPathway	100	Cell Adhesion	Integrins	NA	NA	NA	NA	NA
kp3596	PI3K/AKT Signaling Regulation by PI5P/PP2A /IER3	R-HSA-6811558	Reactome	100	Signal Transduction	PI3K	AKT	NA	NA	NA	NA
kp4262	EML4 and NUDC in Mitotic Spindle Formation	R-HSA-9648025	Reactome	100	Cell Cycle	NA	NA	NA	NA	NA	NA
kp0361	Fc Receptor mediated Stimulatory Signaling	GO:0002431	Gene Ontology	101	Immune System	Innate Immune System	Signal Transduction	Fc Receptors	NA	NA	NA
kp0371	Basal body-Plasma Membrane Anchoring	R-HSA-5620912	Reactome	101	Cell Organelles & Functions	Cytoskeleton	NA	NA	NA	NA	NA
kp0733	Phospholipase C (PLC)-activating GPCR Signaling	GO:0007200	Gene Ontology	101	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp1184	Melanogenesis	path:hsa04916	KEGG	101	Physiology	NA	NA	NA	NA	NA	NA
kp2006	Neural Crest Differentiation	WP2064	WikiPathway	101	Developmental Biology	Differentiation	NA	NA	NA	NA	NA
kp2237	WNT Signaling and Pluripotency	WP399	WikiPathway	101	Signal Transduction	Stem Cell	WNT	NA	NA	NA	NA
kp2807	Biotransformation Phase I - Functionalization of Compounds	R-HSA-211945	Reactome	101	Metabolism	Biological Oxidations	NA	NA	NA	NA	NA
kp3129	Nnucleotides Metabolism	R-HSA-15869	Reactome	101	Nucleotide Metabolism	NA	NA	NA	NA	NA	NA
kp0311	Anti-bacterial Humoral Response	GO:0019731	Gene Ontology	102	Immune System	Innate Immune System	NA	NA	NA	NA	NA
kp0388	Mitochondrial Respiratory Chain Complex Assembly	GO:0033108	Gene Ontology	102	Cell Organelles & Functions	Mitochondria	Energy Metabolism	NA	NA	NA	NA
kp0588	Collagen Metabolism	GO:0032963	Gene Ontology	102	ExtraCellular Matrix	Collagen	NA	NA	NA	NA	NA
kp1133	Pancreatic Secretion	path:hsa04972	KEGG	102	Physiology	NA	NA	NA	NA	NA	NA
kp3013	Ub C-terminal Hydrolase (UCH) Proteinases	R-HSA-5689603	Reactome	102	Protein Metabolism	Protein Modification	Ubiquitination	NA	NA	NA	NA
kp3207	Leukotriene Metabolism	Leukotriene metabolism	EHMN	102	Metabolism	Vitamin	NA	NA	NA	NA	NA
kp4618	Transport of Inorganic Cations/Anions and Amino-acid/Oligopeptides	R-HSA-425393	Reactome	102	Transport	NA	NA	NA	NA	NA	NA
kp0383	Microfilament Re-organization	GO:0031532	Gene Ontology	103	Cytoskeleton	Focal Adhesion	NA	NA	NA	NA	NA
kp0668	Potassium Channels	R-HSA-1296071	Reactome	103	Ion Channels	Transport	NA	NA	NA	NA	NA
kp1127	Protein Digestion and Absorption	path:hsa04974	KEGG	103	Physiology	Protein Metabolism	NA	NA	NA	NA	NA
kp1191	NF-kB Signaling [KEGG]	path:hsa04064	KEGG	103	Signal Transduction	NF-kB	NA	NA	NA	NA	NA
kp1940	Electron Transport Chain [WikiPathway]	WP111	WikiPathway	103	Energy Metabolism	Mitochondria	Biological Oxidations	NA	NA	NA	NA
kp2347	Genes related to Primary Cilium Development (based on CRISPR)	WP4536	WikiPathway	103	Developmental Biology	Cell Organelles & Functions	Cell Shape & Motility	Cytoskeleton	NA	NA	NA
kp5403	Extracellular Matrix Degradation	R-HSA-1474228	Reactome	103	ExtraCellular Matrix	NA	NA	NA	NA	NA	NA
kp0143	EPH-Ephrin Signaling	R-HSA-2682334	Reactome	104	Developmental Biology	Signal Transduction	Neuronal System	NA	NA	NA	NA
kp0426	Triglyceride Metabolism [Gene Ontology]	GO:0006641	Gene Ontology	104	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp0723	Neuropeptide Signaling	GO:0007218	Gene Ontology	104	Signal Transduction	NA	NA	NA	NA	NA	NA
kp0905	T cell Receptor Signaling [KEGG]	path:hsa04660	KEGG	104	Immune System	Adaptive Immune System	Signal Transduction	T-cell	NA	NA	NA
kp1106	C-type Lectin Receptor (CLRs) Signaling [KEGG]	path:hsa04625	KEGG	104	Immune System	Innate Immune System	NA	NA	NA	NA	NA
kp3177	Urea Cycle and Arginine, Proline, Glutamate, Aspartate and Asparagine Metabolism	Urea cycle and metabolism of arginine, proline, glutamate, aspartate and asparagine	EHMN	104	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp0227	Cardiac Muscle Cell Differentiation	GO:0055007	Gene Ontology	105	Developmental Biology	Muscle	Cardiac System	Differentiation	NA	NA	NA
kp1902	EGFR Signaling [Signalink]	None	Signalink	105	Signal Transduction	RTK Signaling	EGF & EGFR	NA	NA	NA	NA
kp3112	Pre-NOTCH Expression and Processing	R-HSA-1912422	Reactome	105	Signal Transduction	Transcriptional Regulation	NOTCH	NA	NA	NA	NA
kp4709	Cardiac Conduction	R-HSA-5576891	Reactome	105	Physiology	Cardiac System	NA	NA	NA	NA	NA
kp0116	Acute Inflammation	GO:0002526	Gene Ontology	106	Inflammation	Immune System	NA	NA	NA	NA	NA
kp0232	Myotube Differentiation	GO:0014902	Gene Ontology	106	Developmental Biology	Differentiation	Muscle	NA	NA	NA	NA
kp0394	Organelle Disassembly	GO:1903008	Gene Ontology	106	Cell Organelles & Functions	NA	NA	NA	NA	NA	NA
kp0715	Integrin mediated Signaling	GO:0007229	Gene Ontology	106	Signal Transduction	Integrins	NA	NA	NA	NA	NA
kp0865	Nucleo-Cytoplasmic Transport	GO:0046822	Gene Ontology	106	Transport	NA	NA	NA	NA	NA	NA
kp0912	Parathyroid Hormone (PTH) Synthesis, Secretion and Action	path:hsa04928	KEGG	106	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA	NA
kp4301	ERBB1 Downstream Signaling	erbb1_downstream_pathway	PID	106	Signal Transduction	ERBB	NA	NA	NA	NA	NA
kp0447	Macromolecule De-acylation	GO:0098732	Gene Ontology	107	Metabolism	Protein Metabolism	Protein Modification	NA	NA	NA	NA
kp0564	Reproduction [Reactome]	R-HSA-1474165	Reactome	107	Physiology	NA	NA	NA	NA	NA	NA
kp0994	Th17 Cell Differentiation	path:hsa04659	KEGG	107	Immune System	Differentiation	NA	NA	NA	NA	NA
kp1063	Glucagon Signaling	path:hsa04922	KEGG	107	Signal Transduction	Metabolism	NA	NA	NA	NA	NA
kp2955	Post-translational Protein Phosphorylation	R-HSA-8957275	Reactome	107	Protein Metabolism	Protein Modification	NA	NA	NA	NA	NA
kp3597	Negative Regulation of PI3K/AKT Network	R-HSA-199418	Reactome	107	Signal Transduction	PI3K	AKT	NA	NA	NA	NA
kp0002	Amino-acid Catabolism	GO:0009063	Gene Ontology	108	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp0018	Substrate Adhesion dependent Cell Spreading	GO:0034446	Gene Ontology	108	Cell Adhesion	Cell Shape & Motility	NA	NA	NA	NA	NA
kp0275	Integration of Energy Metabolism	R-HSA-163685	Reactome	108	Metabolism	Energy Metabolism	NA	NA	NA	NA	NA
kp0301	Molting Cycle	GO:0042303	Gene Ontology	108	Homeostasis	NA	NA	NA	NA	NA	NA
kp0514	tRNA Processing	R-HSA-72306	Reactome	108	RNA Metabolism	tRNA Metabolism	NA	NA	NA	NA	NA
kp2769	Positive Epigenetic Regulation of rRNA Expression	R-HSA-5250913	Reactome	108	RNA Metabolism	rRNA Metabolism	Ribosome	Transcriptional Regulation	Epigenetic Regulation	NA	NA
kp3176	Tyrosine Metabolism [EHMN]	Tyrosine metabolism	EHMN	108	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp0754	VEGF Signaling [Reactome]	R-HSA-194138	Reactome	109	Signal Transduction	RTK Signaling	Angiogenesis	VEGF & VEGFR	NA	NA	NA
kp0843	COP-II mediated Vesicle Transport	R-HSA-204005	Reactome	109	Transport	Endocytosis	Vesicle	NA	NA	NA	NA
kp0969	HIF1A Signaling	path:hsa04066	KEGG	109	Signal Transduction	Cellular Responses to Stress	Hypoxia	NA	NA	NA	NA
kp1168	Toll-like Receptor Signaling [KEGG]	path:hsa04620	KEGG	109	Immune System	Toll-like Receptors	NA	NA	NA	NA	NA
kp2633	Nonsense Mediated Decay (NMD)	R-HSA-927802	Reactome	109	RNA Metabolism	Transcription	NA	NA	NA	NA	NA
kp0282	Lipid Oxidation	GO:0034440	Gene Ontology	110	Metabolism	Lipid Metabolism	Reactive Oxygen Species (ROS)	NA	NA	NA	NA
kp0427	Unsaturated Fatty-acid Metabolism	GO:0033559	Gene Ontology	110	Metabolism	Lipid Metabolism	Fatty-acid	NA	NA	NA	NA
kp0579	Visual Phototransduction	R-HSA-2187338	Reactome	110	Physiology	Vision	NA	NA	NA	NA	NA
kp0679	IFN-gamma Production	GO:0032609	Gene Ontology	110	Immune System	Innate Immune System	Inflammation	Interferons	Cytokines	NA	NA
kp2537	ATM dependent DNA Damage Response	WP710	WikiPathway	110	Signal Transduction	ATM	NA	NA	NA	NA	NA
kp3915	Biotransformation Phase II - Conjugation of compounds	R-HSA-156580	Reactome	110	Metabolism	Biological Oxidations	NA	NA	NA	NA	NA
kp0152	Gland Morphogenesis	GO:0022612	Gene Ontology	111	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0240	Female Sex Differentiation	GO:0046660	Gene Ontology	111	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0312	Antigen Processing - Cross Presentation	R-HSA-1236975	Reactome	111	Immune System	NA	NA	NA	NA	NA	NA
kp4683	Senescence-associated Secretory Phenotype (SASP)	R-HSA-2559582	Reactome	111	Cellular Responses to Stress	Senescence	NA	NA	NA	NA	NA
kp4758	Water Soluble Vitamins and Co-factors Metabolism	R-HSA-196849	Reactome	111	Metabolism	Vitamin	NA	NA	NA	NA	NA
kp0041	DNA Geometric Change	GO:0032392	Gene Ontology	112	Cell Cycle	NA	NA	NA	NA	NA	NA
kp0395	Plasma Membrane Organization	GO:0007009	Gene Ontology	112	Cell Organelles & Functions	NA	NA	NA	NA	NA	NA
kp0446	Liposaccharide Metabolism	GO:1903509	Gene Ontology	112	Metabolism	Lipid Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA
kp0598	Protein Depolymerization	GO:0051261	Gene Ontology	112	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp0839	Carbohydrate Transmembrane Transport	GO:0034219	Gene Ontology	112	Transport	NA	NA	NA	NA	NA	NA
kp1029	TNF Signaling [KEGG]	path:hsa04668	KEGG	112	Signal Transduction	Immune System	Inflammation	TNF	NA	NA	NA
kp3775	Toll-like Recepto 4 (TLR4) Cascade	R-HSA-166016	Reactome	112	Immune System	Innate Immune System	Toll-like Receptors	NA	NA	NA	NA
kp0037	Spindle Assembly	GO:0051225	Gene Ontology	113	Cell Cycle	Cytoskeleton	NA	NA	NA	NA	NA
kp0326	Leukocyte mediated Cytotoxicity	GO:0001909	Gene Ontology	113	Immune System	NA	NA	NA	NA	NA	NA
kp0358	B-cell Receptor Signaling [Reactome]	R-HSA-983705	Reactome	113	Immune System	Adaptive Immune System	Signal Transduction	B-cell	NA	NA	NA
kp0622	SCF dependent Proteasomal Protein Catabolism	GO:0031146	Gene Ontology	113	Protein Metabolism	Protein Modification	Proteasome	NA	NA	NA	NA
kp0947	Serotonergic Synapse	path:hsa04726	KEGG	113	Neuronal System	Chemical Synapses	Neurotransmitters	NA	NA	NA	NA
kp1203	Cholinergic Synapse	path:hsa04725	KEGG	113	Neuronal System	Chemical Synapses	Neurotransmitters	NA	NA	NA	NA
kp3084	Respiratory Electron Transport/ATP Synthesis/Heat production	R-HSA-163200	Reactome	113	Energy Metabolism	Biological Oxidations	Mitochondria	NA	NA	NA	NA
kp4532	Mitotic Spindle Checkpoint	R-HSA-69618	Reactome	113	Cell Cycle	Cytoskeleton	NA	NA	NA	NA	NA
kp0128	Cardiac Ventricle Development	GO:0003231	Gene Ontology	114	Developmental Biology	Cardiac System	NA	NA	NA	NA	NA
kp0268	Amyloid Fiber Formation	R-HSA-977225	Reactome	114	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp0584	Protein Localization To ER	GO:0072599	Gene Ontology	114	Protein Metabolism	ER	Translation	NA	NA	NA	NA
kp0953	Glutamatergic Synapse	path:hsa04724	KEGG	114	Neuronal System	Chemical Synapses	Neurotransmitters	NA	NA	NA	NA
kp1167	Leukocyte Transendothelial Migration	path:hsa04670	KEGG	114	Immune System	Cell Shape & Motility	NA	NA	NA	NA	NA
kp2377	Gastrin Signaling [WikiPathway]	WP4659	WikiPathway	114	Signal Transduction	Physiology	Hormone Metabolism & Fucntions	NA	NA	NA	NA
kp2832	NTRK1 (TRKA) Signaling	R-HSA-187037	Reactome	114	Signal Transduction	RTK Signaling	Neurotrophin	NA	NA	NA	NA
kp4619	L13a mediated Translational Silencing of Ceruloplasmin Expression	R-HSA-156827	Reactome	114	Cellular Responses to Stress	Translation	NA	NA	NA	NA	NA
kp0458	ROS Biosynthesis	GO:1903409	Gene Ontology	115	Metabolism	Reactive Oxygen Species (ROS)	NA	NA	NA	NA	NA
kp0563	Renal System Process	GO:0003014	Gene Ontology	115	Physiology	NA	NA	NA	NA	NA	NA
kp2044	Spinal Cord Injury	WP2431	WikiPathway	115	Neuronal System	Homeostasis	Cellular Responses to Stimulus	NA	NA	NA	NA
kp2816	Golgi to ER Retrograde Transport	R-HSA-8856688	Reactome	115	Transport	Cell Organelles & Functions	EGF & EGFR	Golgi	ER	NA	NA
kp3901	TGF-beta super family Signaling canonical	None	INOH	115	Signal Transduction	TGF-beta	Bone	BMP	NA	NA	NA
kp2224	Embyonic Stem Cell Pluripotency Pathway	WP3931	WikiPathway	116	Differentiation	Stem Cell	NA	NA	NA	NA	NA
kp4278	RAB Regulation of Trafficking	R-HSA-9007101	Reactome	116	Transport	NA	NA	NA	NA	NA	NA
kp0138	Embryonic Skeletal System Development	GO:0048706	Gene Ontology	117	Developmental Biology	Bone	NA	NA	NA	NA	NA
kp0805	Transcriptional Response To Stress 	GO:0043620	Gene Ontology	117	Cellular Responses to Stress	Transcriptional Regulation	NA	NA	NA	NA	NA
kp0451	Olefinic Compound Metabolism	GO:0120254	Gene Ontology	118	Metabolism	NA	NA	NA	NA	NA	NA
kp0824	mRNA Cap dependent Translation Initiation 	R-HSA-72737	Reactome	118	Translation	NA	NA	NA	NA	NA	NA
kp2414	Osteoblast Differentiation [WikiPathway]	WP4787	WikiPathway	118	Developmental Biology	Differentiation	Bone	NA	NA	NA	NA
kp0166	Mesoderm Development	GO:0007498	Gene Ontology	119	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0366	mTOR Signaling [Gene Ontology]	GO:0031929	Gene Ontology	119	Signal Transduction	mTOR	NA	NA	NA	NA	NA
kp0635	O-linked Glycosylation	R-HSA-5173105	Reactome	119	Protein Metabolism	Protein Modification	Glycosylation	NA	NA	NA	NA
kp0959	Growth Hormone Synthesis, Secretion and Action	path:hsa04935	KEGG	119	Hormone Metabolism & Fucntions	Signal Transduction	NA	NA	NA	NA	NA
kp1069	Sphingolipid Signaling [KEGG]	path:hsa04071	KEGG	119	Metabolism	Lipid Metabolism	Sphingolipid Metabolism	Signal Transduction	S1P	NA	NA
kp1234	Neurotrophin Signaling [KEGG]	path:hsa04722	KEGG	119	Signal Transduction	RTK Signaling	Neurotrophin	NA	NA	NA	NA
kp2352	Hippo-Merlin Signaling Dysregulation	WP4541	WikiPathway	119	Signal Transduction	Cancers	Hippo	NA	NA	NA	NA
kp2465	DNA Repair Pathway Full Network	WP4946	WikiPathway	119	DNA Repair	NA	NA	NA	NA	NA	NA
kp3340	Cell Cycle G2/M Check point [Reactome]	R-HSA-69481	Reactome	119	Cell Cycle	NA	NA	NA	NA	NA	NA
kp4236	Canonical WNT Signaling [INOH]	None	INOH	119	Signal Transduction	WNT	beta-Catenin	NA	NA	NA	NA
kp1055	AMP-Activated Protein Kinase (AMPK) Signaling	path:hsa04152	KEGG	120	Signal Transduction	Metabolism	AMPK	NA	NA	NA	NA
kp0159	L1CAM Interactions	R-HSA-373760	Reactome	121	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp0252	HOX Genes Activation in Differentiation	R-HSA-5619507	Reactome	121	Differentiation	Transcription Factors	Gene Expression	NA	NA	NA	NA
kp0335	Neutrophil Migration	GO:1990266	Gene Ontology	121	Immune System	Cell Shape & Motility	Inflammation	NA	NA	NA	NA
kp1227	Thyroid hormone Signaling	path:hsa04919	KEGG	121	Signal Transduction	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA
kp0139	Endocrine System Development	GO:0035270	Gene Ontology	122	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0656	Sprouting Angiogenesis	GO:0002040	Gene Ontology	122	Angiogenesis	Blood Vessels	NA	NA	NA	NA	NA
kp2716	Eukaryotic Translation Initiation	R-HSA-72613	Reactome	122	Translation	NA	NA	NA	NA	NA	NA
kp0007	Selenoamino-acid Metabolism [Reactome]	R-HSA-2408522	Reactome	123	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp0392	Nucleus Organization	GO:0006997	Gene Ontology	123	Chromosome Structure Maintenance	NA	NA	NA	NA	NA	NA
kp2647	RHO GTPases mediate Formins Activation	R-HSA-5663220	Reactome	123	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp0901	Platelet Activation	path:hsa04611	KEGG	124	Homeostasis	Platelet	NA	NA	NA	NA	NA
kp0965	Cell Cycle [KEGG]	path:hsa04110	KEGG	124	Cell Cycle	NA	NA	NA	NA	NA	NA
kp2765	Oxidative Stress induced Senescence	R-HSA-2559580	Reactome	124	Cellular Responses to Stress	Senescence	NA	NA	NA	NA	NA
kp3260	Integrin Signaling [INOH]	None	INOH	124	Signal Transduction	Integrins	NA	NA	NA	NA	NA
kp4584	Steroids Metabolism [Reactome]	R-HSA-8957322	Reactome	124	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp0014	Cell Cell Communication	R-HSA-1500931	Reactome	125	Cell Adhesion	NA	NA	NA	NA	NA	NA
kp0142	Ensheathment of Neurons	GO:0007272	Gene Ontology	125	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp0623	SRP dependent Cotranslational Membrane Localization	R-HSA-1799339	Reactome	125	Protein Metabolism	Translation	NA	NA	NA	NA	NA
kp0848	IGF Transport And IGF Binding Protein mediated Uptake	R-HSA-381426	Reactome	125	Transport	Protein Metabolism	NA	NA	NA	NA	NA
kp2251	mRNA Processing [WikiPathway]	WP411	WikiPathway	125	RNA Metabolism	Transcription	NA	NA	NA	NA	NA
kp4554	CD4+ T-cell Receptor Signaling	None	INOH	125	Signal Transduction	Immune System	T-cell	NA	NA	NA	NA
kp0141	Endothelium Development	GO:0003158	Gene Ontology	126	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0221	Smooth Muscle Cell Proliferation	GO:0048659	Gene Ontology	127	Developmental Biology	Muscle	NA	NA	NA	NA	NA
kp0441	Glycosyl-compound Metabolism	GO:1901657	Gene Ontology	127	Metabolism	Carbohydrate Metabolism	Nucleotide Metabolism	NA	NA	NA	NA
kp0468	Terpenoid Metabolism	GO:0006721	Gene Ontology	127	Metabolism	Retinoic-acid	NA	NA	NA	NA	NA
kp1179	Osteoclast Differentiation [KEGG]	path:hsa04380	KEGG	127	Developmental Biology	Differentiation	Bone	NA	NA	NA	NA
kp2947	B-cell Receptor Signaling [NetPath]	Pathway_BCR	NetPath	127	Signal Transduction	Immune System	B-cell	NA	NA	NA	NA
kp4396	PDGFR-beta Signaling [PID]	pdgfrbpathway	PID	127	Signal Transduction	NA	NA	NA	NA	NA	NA
kp1016	Lysosome	path:hsa04142	KEGG	128	Cell Organelles & Functions	Protein Metabolism	NA	NA	NA	NA	NA
kp5032	Glycerophospholipid Biosynthesis	R-HSA-1483206	Reactome	128	Metabolism	Lipid Metabolism	Phospholipid Metabolism	NA	NA	NA	NA
kp0851	Inorganic Anion TransMembrane Transport	GO:0098661	Gene Ontology	129	Transport	NA	NA	NA	NA	NA	NA
kp0914	Relaxin Signaling	path:hsa04926	KEGG	129	Signal Transduction	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA
kp0966	Oocyte Meiosis	path:hsa04114	KEGG	129	Cell Cycle	Physiology	NA	NA	NA	NA	NA
kp2717	Platelet De-granulation 	R-HSA-114608	Reactome	129	Homeostasis	Platelet	NA	NA	NA	NA	NA
kp0164	Mammary Gland Development	GO:0030879	Gene Ontology	130	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0203	Specification of Symmetry	GO:0009799	Gene Ontology	130	Developmental Biology	NA	NA	NA	NA	NA	NA
kp1136	Natural Killer Cell mediated Cytotoxicity	path:hsa04650	KEGG	130	Immune System	NA	NA	NA	NA	NA	NA
kp2034	Adipogenesis	WP236	WikiPathway	130	Developmental Biology	Differentiation	NA	NA	NA	NA	NA
kp5026	Toll-like Receptor Signaling [Reactome]	R-HSA-168898	Reactome	130	Immune System	Innate Immune System	Toll-like Receptors	NA	NA	NA	NA
kp0149	Female Gamete Generation	GO:0007292	Gene Ontology	131	Developmental Biology	NA	NA	NA	NA	NA	NA
kp0449	Monocarboxylic-acid Catabolism	GO:0072329	Gene Ontology	131	Metabolism	NA	NA	NA	NA	NA	NA
kp0497	Nucleobase Containing Small Molecule Metabolism	GO:0034404	Gene Ontology	131	Nucleotide Metabolism	NA	NA	NA	NA	NA	NA
kp0519	Action Potential	GO:0001508	Gene Ontology	131	Physiology	NA	NA	NA	NA	NA	NA
kp0751	Smoothened Signaling	GO:0007224	Gene Ontology	131	Signal Transduction	NA	NA	NA	NA	NA	NA
kp1027	FOXO Signaling [KEGG]	path:hsa04068	KEGG	131	Signal Transduction	Transcriptional Regulation	Transcription Factors	FOX family	NA	NA	NA
kp2217	ANGPTL8 Regulatory Pathway	WP3915	WikiPathway	131	Metabolism	Protein Metabolism	Lipid Metabolism	NA	NA	NA	NA
kp4625	ADORA2B mediated Anti-Inflammatory Cytokines Production	R-HSA-9660821	Reactome	131	Signal Transduction	GPCR Signaling	Inflammation	Cytokines	NA	NA	NA
kp0948	Dopaminergic Synapse	path:hsa04728	KEGG	132	Neuronal System	Chemical Synapses	Neurotransmitters	NA	NA	NA	NA
